id,word,definition,grade,phonetic_spelling,rating,source,version,user_id,created_at
00a64dd9-5121-400f-8525-eca2df049d42,Furious,Extremely angry.,2,/ˈfjʊriəs/,-,System,V01,,2025-01-25 13:58:03.096089+00
0120853a-0fc5-4dcb-b4c7-0eb1c689eb40,Misgivings,Feelings of doubt or apprehension about the outcome or consequences of something.,2,/ˌmɪsˈɡɪvɪŋz/,-,System,V01,,2025-01-25 13:58:03.096089+00
01a239f2-0e8c-40e1-892a-3885530ecf64,Corruption,"Dishonest or fraudulent conduct by those in power, typically involving bribery.",1,/kəˈrʌpʃən/,-,System,V01,,2025-01-25 13:58:03.096089+00
02e1b09a-6516-4eb6-90e1-c73c953bc65c,Uplifted,Raised to a higher position or level; elevated.,5,/ʌpˈlɪftɪd/,+,System,V01,,2025-01-25 13:58:03.096089+00
040159be-c8a2-48fa-a3d3-cf74cbb3e276,Motivation,The reason or reasons one has for acting or behaving in a particular way.,5,/ˌmoʊtɪˈveɪʃən/,+,System,V01,,2025-01-25 13:58:03.096089+00
04260454-7dda-41ff-b2b7-35f242d9590a,Harmfulness,The quality of causing harm.,1,/ˈhɑːrmfʊlnəs/,-,System,V01,,2025-01-25 13:58:03.096089+00
043d4c85-690e-4479-aec6-6641b25bc6a6,Discourse,Written or spoken communication or debate.,3,/ˈdɪskɔːrs/,~,System,Default,,2025-01-25 13:58:03.096089+00
04670516-1862-4e8d-90df-4df85ec34082,Responsiveness,The quality of reacting quickly and positively.,5,/rɪˈspɒnsɪvnəs/,+,System,V01,,2025-01-25 13:58:03.096089+00
05794a9f-8604-4aaa-bc92-5669202db011,Innovating,The act of introducing new ideas or methods.,4,/ˈɪnəˌveɪtɪŋ/,+,System,Default,,2025-01-25 13:58:03.096089+00
05821384-f791-4bcb-b2b6-e9a6910cbdf8,Terrified,Extremely frightened.,2,/ˈtɛrɪfaɪd/,-,System,V01,,2025-01-25 13:58:03.096089+00
0605c63d-cc12-4534-8ce3-b9f65da41773,Surprise,An unexpected or astonishing event.,3,/sərˈpraɪz/,~,System,Default,,2025-01-25 13:58:03.096089+00
