word,phonetic,definition,type
A cut above,/ə kʌt əˈbʌv/,Significantly better than others.,Positive
Absolute,/æbsəluːt/,Not qualified or diminished in any way,Neutral
Absurdity,/əbsɜːrdɪti/,The quality or state of being ridiculous or wildly unreasonable.,Negative
Abuse,/əbjuːs/,The improper use of something.,Negative
Abusiveness,/əbjuːsɪvnəs/,The bad quality of being abusive towards someone or something.,Negative
Acceptance,/əkseptəns/,The action of consenting to receive or undertake something offered.,Positive
Accurate,/ækjʊrət/,Correct in all details,Neutral
Achievement,/ətʃiːvmənt/,A successful result gained through effort.,Positive
Adaptability,/əˌdæptəˈbɪlɪti/,The quality of being able to adjust to new conditions.,Positive
Adapting,/əˈdæptɪŋ/,The act of making something suitable for a new use or purpose.,Positive
Adequacy,/ædɪkwəsi/,The state of being sufficient for the purpose concerned.,Positive
Advantage,/ədvæntɪdʒ/,A condition or circumstance that puts one in a favorable or superior position.,Positive 
