word,definition,grade,phonetic_spelling,rating,source,version
Achievement,A successful result gained through effort.,5,/əˈtʃiːvmənt/,+,System,Default
Willingness,The quality of being prepared to do something.,4,/ˈwɪlɪŋnəs/,+,System,Default
Vitality,The state of being strong and active.,5,/vaɪˈtælɪti/,+,System,Default
Boldness,"The quality of having a strong, vivid, or daring appearance.",4,/ˈboʊldnəs/,+,System,Default
Insight,The capacity to gain an accurate and deep understanding.,5,/ˈɪnˌsaɪt/,+,System,Default
Command,The ability to use or control something.,4,/kəˈmænd/,+,System,Default
Reflection,Serious thought or consideration.,3,/rɪˈflɛkʃən/,~,System,Default
Illusion,A false idea or belief.,2,/ɪˈluːʒən/,-,System,Default
Union,The action of joining together.,4,/ˈjuːnjən/,+,System,Default
Sturdiness,The quality of being strong and solid.,4,/ˈstɜːdinəs/,+,System,Default
Insightful,Having or showing an accurate and deep understanding.,5,/ɪnˈsaɪtfəl/,+,System,Default
Modesty,The quality of not being too proud or confident.,4,/ˈmɒdɪsti/,+,System,Default
Surprise,An unexpected or astonishing event.,3,/sərˈpraɪz/,~,System,Default
Joyless,Lacking joy or happiness.,1,/ˈdʒɔɪləs/,-,System,Default
Rampant,Flourishing or spreading unchecked.,2,/ˈræmpənt/,-,System,Default
Causing,The act of making something happen.,3,/ˈkɔːzɪŋ/,~,System,Default
Salvage,The act of saving something from danger or destruction.,4,/ˈsælvɪdʒ/,+,System,Default
Roaring,"Making a loud, deep sound.",3,/ˈrɔːrɪŋ/,~,System,Default
Pretentions,Attempting to impress by affecting greater importance.,2,/prɪˈtɛnʃənz/,-,System,Default
Salaciousness,The quality of being obscene or indecent.,1,/səˈleɪʃəsnəs/,-,System,Default
Aim,A purpose or intention.,4,/eɪm/,+,System,Default
Rebirth,The process of being born again.,5,/riːˈbɜːrθ/,+,System,Default
Exuberance,The quality of being full of energy and excitement.,5,/ɪɡˈzjuːbərəns/,+,System,Default
Urge,A strong desire or impulse.,3,/ɜːrdʒ/,~,System,Default
Balancing,The act of keeping or putting something in a steady position.,4,/ˈbælənsɪŋ/,+,System,Default
Submerging,The act of sinking below the surface.,3,/səbˈmɜːrdʒɪŋ/,~,System,Default
Attracting,The act of drawing attention or interest.,4,/əˈtræktɪŋ/,+,System,Default
Curiosity,A strong desire to know or learn something.,4,/ˌkjʊriˈɒsɪti/,+,System,Default
Colliding,The act of coming into conflict or striking together.,3,/kəˈlaɪdɪŋ/,~,System,Default
Concern,A matter of interest or importance.,3,/kənˈsɜːrn/,~,System,Default
Fate,The development of events beyond a person's control.,3,/feɪt/,~,System,Default
Overbearing,Unpleasantly or arrogantly domineering.,2,/ˌoʊvərˈbɛrɪŋ/,-,System,Default
Life force,The energy that gives life to living beings.,4,/laɪf fɔːrs/,+,System,Default
Protecting,The act of keeping someone or something safe.,4,/prəˈtɛktɪŋ/,+,System,Default
Triumphing,Achieving a victory or success.,4,/ˈtraɪəmfɪŋ/,+,System,Default
Preening,The act of making oneself look attractive.,2,/ˈpriːnɪŋ/,-,System,Default
Resonating,"Producing or being filled with a deep, full sound.",4,/ˈrɛzəˌneɪtɪŋ/,+,System,Default
Immersing,The act of deeply involving oneself in an activity.,4,/ɪˈmɜːrsɪŋ/,+,System,Default
Righteous,Morally right or justifiable.,3,/ˈraɪtʃəs/,~,System,Default
Compulsion,The action or state of forcing or being forced to do something.,2,/kəmˈpʌlʃən/,-,System,Default
Yearning,A feeling of intense longing for something.,3,/ˈjɜːrnɪŋ/,~,System,Default
Adapting,The act of making something suitable for a new use or purpose.,4,/əˈdæptɪŋ/,+,System,Default
Fostering,Encouraging the development of something.,4,/ˈfɒstərɪŋ/,+,System,Default
Flaunting,Displaying something ostentatiously.,2,/ˈflɔːntɪŋ/,-,System,Default
